v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,S2
42,71,69,47,51,43,93,26,97,54,19,33,1,63,2,99,13775
43,63,71,54,26,99,47,33,51,1,42,97,93,2,69,19,13775
43,51,26,93,71,42,47,69,63,1,99,2,54,97,33,19,13775
47,33,26,99,71,54,43,63,69,19,93,2,42,97,51,1,13775
47,69,71,42,26,93,43,51,33,19,54,97,99,2,63,1,13775
54,71,63,43,33,47,99,26,97,42,1,51,19,69,2,93,13775
54,97,33,19,63,1,99,2,71,42,47,69,43,51,26,93,13775
93,2,69,19,51,1,42,97,26,99,47,33,43,63,71,54,13775
93,26,51,43,69,47,42,71,2,99,1,63,19,33,97,54,13775
99,26,33,47,63,43,54,71,2,93,19,69,1,51,97,42,13775
99,2,63,1,33,19,54,97,26,93,43,51,47,69,71,42,13775
5,103,11,60,80,39,47,65,3,25,100,61,89,40,45,53,14355
5,3,80,89,11,100,47,45,103,25,39,40,60,61,65,53,14355
25,3,61,100,40,89,53,45,103,5,60,11,39,80,65,47,14355
25,103,40,39,61,60,53,65,3,5,89,80,100,11,45,47,14355
39,80,65,47,103,5,60,11,40,89,53,45,25,3,61,100,14355
39,40,103,25,65,53,60,61,80,89,5,3,47,45,11,100,14355
47,65,80,39,11,60,5,103,45,53,89,40,100,61,3,25,14355
47,45,11,100,80,89,5,3,65,53,60,61,39,40,103,25,14355
53,45,40,89,61,100,25,3,65,47,39,80,60,11,103,5,14355
53,65,61,60,40,39,25,103,45,47,100,11,89,80,3,5,14355
60,11,103,5,65,47,39,80,61,100,25,3,53,45,40,89,14355
60,61,65,53,103,25,39,40,11,100,47,45,5,3,80,89,14355
89,40,45,53,3,25,100,61,80,39,47,65,5,103,11,60,14355
89,80,3,5,45,47,100,11,40,39,25,103,53,65,61,60,14355
100,61,3,25,45,53,89,40,11,60,5,103,47,65,80,39,14355
100,11,45,47,3,5,89,80,61,60,53,65,25,103,40,39,14355
3,113,6,56,84,34,57,67,7,27,104,66,94,36,43,63,15950
3,7,84,94,6,104,57,43,113,27,34,36,56,66,67,63,15950
5,87,16,90,110,36,23,45,15,61,102,40,60,58,69,65,15950
5,15,110,60,16,102,23,69,87,61,36,58,90,40,45,65,15950
23,45,110,36,16,90,5,87,69,65,60,58,102,40,15,61,15950
23,69,16,102,110,60,5,15,45,65,90,40,36,58,87,61,15950
27,7,66,104,36,94,63,43,113,3,56,6,34,84,67,57,15950
27,113,36,34,66,56,63,67,7,3,94,84,104,6,43,57,15950
34,84,67,57,113,3,56,6,36,94,63,43,27,7,66,104,15950
34,36,113,27,67,63,56,66,84,94,3,7,57,43,6,104,15950
36,110,45,23,87,5,90,16,58,60,65,69,61,15,40,102,15950
36,58,87,61,45,65,90,40,110,60,5,15,23,69,16,102,15950
56,6,113,3,67,57,34,84,66,104,27,7,63,43,36,94,15950
56,66,67,63,113,27,34,36,6,104,57,43,3,7,84,94,15950
57,67,84,34,6,56,3,113,43,63,94,36,104,66,7,27,15950
57,43,6,104,84,94,3,7,67,63,56,66,34,36,113,27,15950
60,58,69,65,15,61,102,40,110,36,23,45,5,87,16,90,15950
60,110,15,5,69,23,102,16,58,36,61,87,65,45,40,90,15950
61,15,40,102,58,60,65,69,87,5,90,16,36,110,45,23,15950
61,87,58,36,40,90,65,45,15,5,60,110,102,16,69,23,15950
63,43,36,94,66,104,27,7,67,57,34,84,56,6,113,3,15950
63,67,66,56,36,34,27,113,43,57,104,6,94,84,7,3,15950
65,69,58,60,40,102,61,15,45,23,36,110,90,16,87,5,15950
65,45,40,90,58,36,61,87,69,23,102,16,60,110,15,5,15950
90,16,87,5,45,23,36,110,40,102,61,15,65,69,58,60,15950
90,40,45,65,87,61,36,58,16,102,23,69,5,15,110,60,15950
94,36,43,63,7,27,104,66,84,34,57,67,3,113,6,56,15950
94,84,7,3,43,57,104,6,36,34,27,113,63,67,66,56,15950
102,40,15,61,69,65,60,58,16,90,5,87,23,45,110,36,15950
102,16,69,23,15,5,60,110,40,90,65,45,61,87,58,36,15950
104,66,7,27,43,63,94,36,6,56,3,113,57,67,84,34,15950
104,6,43,57,7,3,94,84,66,56,63,67,27,113,36,34,15950
8,108,14,74,106,34,52,48,4,56,102,62,78,38,64,76,17400
8,4,106,78,14,102,52,64,108,56,34,38,74,62,48,76,17400
34,106,48,52,108,8,74,14,38,78,76,64,56,4,62,102,17400
34,38,108,56,48,76,74,62,106,78,8,4,52,64,14,102,17400
52,48,106,34,14,74,8,108,64,76,78,38,102,62,4,56,17400
52,64,14,102,106,78,8,4,48,76,74,62,34,38,108,56,17400
56,4,62,102,38,78,76,64,108,8,74,14,34,106,48,52,17400
56,108,38,34,62,74,76,48,4,8,78,106,102,14,64,52,17400
74,14,108,8,48,52,34,106,62,102,56,4,76,64,38,78,17400
74,62,48,76,108,56,34,38,14,102,52,64,8,4,106,78,17400
76,64,38,78,62,102,56,4,48,52,34,106,74,14,108,8,17400
76,48,62,74,38,34,56,108,64,52,102,14,78,106,4,8,17400
78,38,64,76,4,56,102,62,106,34,52,48,8,108,14,74,17400
78,106,4,8,64,52,102,14,38,34,56,108,76,48,62,74,17400
102,62,4,56,64,76,78,38,14,74,8,108,52,48,106,34,17400
102,14,64,52,4,8,78,106,62,74,76,48,56,108,38,34,17400
2,56,116,42,58,84,64,62,96,82,22,44,76,38,18,104,18360
2,96,58,76,116,22,64,18,56,82,84,38,42,44,62,104,18360
22,44,96,82,18,104,76,38,116,42,2,56,64,62,58,84,18360
22,116,18,64,96,2,76,58,44,42,104,62,82,56,38,84,18360
42,116,56,2,62,64,84,58,44,22,82,96,104,18,38,76,18360
42,44,62,104,56,82,84,38,116,22,64,18,2,96,58,76,18360
64,62,58,84,116,42,2,56,18,104,76,38,22,44,96,82,18360
64,18,116,22,58,76,2,96,62,104,42,44,84,38,56,82,18360
76,38,18,104,96,82,22,44,58,84,64,62,2,56,116,42,18360
76,58,96,2,18,64,22,116,38,84,82,56,104,62,44,42,18360
82,96,44,22,38,76,104,18,56,2,42,116,84,58,62,64,18360
82,56,38,84,44,42,104,62,96,2,76,58,22,116,18,64,18360
84,58,62,64,56,2,42,116,38,76,104,18,82,96,44,22,18360
84,38,56,82,62,104,42,44,58,76,2,96,64,18,116,22,18360
104,18,38,76,44,22,82,96,62,64,84,58,42,116,56,2,18360
104,62,44,42,38,84,82,56,18,64,22,116,76,58,96,2,18360
14,93,11,103,107,59,17,66,37,46,117,49,81,73,74,47,19575
